0 9172743 9131309 8276143
1 9299828 9076637 8162483
2 9272314 8899962 7959562
3 9050310 8548973 7906706
4 9016483 8314548 7652361
5 8814634 7900544 7543825
6 8402989 7619541 7606392
7 7909212 7276120 7771426
8 7618724 7085948 7857679
9 7468545 7083071 7968804
10 7431403 7026136 8017237
11 7256703 7096053 8239461
12 7172301 7230622 8466402
13 7276172 7499514 8589174
14 7415582 7704869 8713701
15 7658420 8004527 8658624
16 8018332 8222584 8620794
17 8337835 8553289 8526270
18 8746435 8685315 8340114
19 9130820 8807555 8006783
20 9368850 8685263 7695462
21 9578178 8662563 7390559
22 9696926 8477756 7175592
23 9608244 8226845 6950978
24 9418451 7947962 6941037
25 9107536 7580134 6880417
26 8779827 7342289 6983040
27 8481121 7173671 7080278
28 8121875 7091291 7377677
29 7832332 6997487 7588774
30 7576820 7122342 7971437
31 7446570 7391006 8322160
32 7425877 7797768 8747096
33 7537191 8166484 9074040
34 7599277 8678055 9448323
35 7802243 9293881 9889250
36 8203032 9916952 10055139
37 8610319 10379406 10138869
38 9124122 10919422 10119871
39 9441256 11333310 10272665
40 9907566 11782907 10231589
41 10227640 12156201 10353155
42 10285705 12291823 10370922
43 10155220 12476999 10687163
44 10071221 12652603 10899642
45 9738657 12567241 11257418
46 9389743 12669095 11646868
47 9085547 12835019 12100331
48 8885722 12938942 12459852
49 8606554 13111951 12812988
50 8360144 13264508 13315636
51 8293811 13404797 13453851
52 8447704 13589534 13498233
53 8625771 13866130 13574749
54 8717234 14121660 13751777
55 9053048 14522647 13729416
56 9354901 14732279 13727668
57 9694483 14968366 13539286
58 9929076 15092543 13497546
59 10313675 15074343 13052233
60 10473001 14788063 12707697
61 10384356 14558716 12447865
62 10251137 14033724 12142726
63 9925318 13415170 11840944
64 9544909 12586075 11363027
65 9067803 11674567 11014643
66 8627477 10960761 10697064
67 8124071 10380812 10696353
68 7506347 9883307 10731713
69 7145425 9369404 10617298
70 6888667 8975285 10440823
71 6751667 8735174 10411958
72 6742868 8937476 10497265
73 6910671 8915190 10391096
74 7146259 9093913 10265665
75 7535696 9345716 10206754
76 7868311 9629002 10130175
77 8166163 9859785 10074230
78 8523815 9971394 9766124
79 8789047 10002953 9571561
80 9037250 10025748 9300807
81 9176825 9889981 9078796
82 9127065 9575997 8782346
83 9132898 9312031 8523260
84 9093510 8998918 8259775
85 8809217 8543104 8086290
86 8558813 8163905 8027903
87 8274451 7875680 7982343
88 7926755 7569417 8070478
89 7733225 7583942 8228295
90 7558680 7570248 8407700
91 7422910 7619768 8525179
92 7313485 7654644 8792013
93 7405529 7952832 8835706
94 7500222 8140037 9054173
95 7795708 8507141 9036210
96 8115557 8728073 9020671
97 8522479 9054517 8857461
98 8907107 9207547 8638714
99 9137104 9295468 8464250
100 9272035 9292929 8379271
101 9457360 9288613 8170874
102 9499528 9120573 7993886
103 9346000 8825834 7918692
104 9173078 8568970 7732100
105 8833706 8116467 7759755
106 8467634 7823230 7775018
107 8208769 7549003 7767773
108 7880504 7323718 7843414
109 7577130 7129206 7969622
110 7407172 7150481 8091720
111 7341577 7107443 8243906
112 7390749 7423441 8389805
113 7463494 7610469 8556272
114 7664183 7938997 8668108
115 7819476 8224598 8791834
116 8104231 8489805 8693752
117 8406559 8739190 8655697
118 8801122 8961037 8516384
119 9041767 9107557 8467590
120 9250899 9165369 8263174
121 9354544 9150560 8106442
122 9392636 8958271 7907579
123 9328412 8851525 7872004
124 9208555 8482078 7665204
125 9022945 8202563 7561532
126 8763720 7883638 7576042
127 8410972 7630791 7582581
128 8058268 7386397 7758529
129 7794083 7310331 7864750
130 7566180 7206293 8062320
131 7436024 7287450 8181637
132 7385107 7378053 8422167
133 7446483 7617337 8516298
134 7594813 7858529 8680836
135 7954658 8268034 8636023
136 8289510 8562164 8643176
137 8568219 8870325 8626737
138 8953626 9102747 8460048
139 9186684 9138282 8328774
140 9376863 9205856 8192995
141 9464684 9146545 8032876
142 9487089 9000134 7868255
143 9440061 8827119 7774642
144 9277202 8566391 7642715
145 8991428 8151315 7556579
146 8689402 7861466 7553588
147 8307448 7514667 7611875
148 8016954 7357601 7771899
149 7750186 7248596 7957810
150 7469656 7242094 8111145
151 7439773 7253403 8295606
152 7435125 7480675 8392371
153 7603068 7695279 8474474
154 7781079 7986928 8545831
155 8062698 8336006 8677849
156 8393822 8658846 8626515
157 8707558 8989565 8643852
158 9125184 9241617 8485214
159 9286823 9343569 8414649
160 9458376 9331402 8247047
161 9512090 9328513 8158436
162 9539293 9095695 7941089
163 9536630 8979765 7764657
164 9425804 8636799 7615271
165 9126314 8295503 7587722
166 8793562 7974643 7598712
167 8489242 7733087 7618246
168 8052521 7389381 7773345
169 7773596 7284549 7861024
170 7577674 7191114 8039270
171 7455956 7264464 8187654
172 7441491 7462149 8477700
173 7647911 7810831 8485398
174 7869378 8152011 8631605
175 8207194 8514711 8642832
176 8497135 8809357 8709145
177 8764702 9056869 8644601
178 9095924 9303822 8546998
179 9332352 9395667 8440551
180 9527951 9403663 8222070
181 9671992 9334028 8061520
182 9638447 9191243 7886185
183 9599875 8904297 7743220
184 9417431 8689257 7567423
185 9148468 8238144 7556383
186 8891743 8010524 7508492
187 8667096 7762665 7555842
188 8335520 7595898 7608461
189 7996319 7401720 7898183
190 7719826 7424703 8070756
191 7589704 7422844 8249206
192 7618182 7613505 8376843
193 7743957 7845410 8473708
194 7900561 8097557 8584925
195 8183299 8466409 8680845
196 8523112 8776006 8634647
197 8894561 9124799 8584847
198 9261888 9310851 8405104
199 9562254 9508650 8266148
200 9715882 9452780 8142610
201 9684048 9399583 8061579
202 9727380 9223974 7861264
203 9766814 9209130 7734090
204 9665501 8964610 7675057
205 9390899 8593710 7536240
206 9007820 8198872 7620899
207 8690854 7911915 7538322
208 8371955 7697509 7728793
209 8039865 7543041 7861657
210 7906738 7495075 8002106
211 7843855 7606981 8144145
212 7829849 7857073 8438265
213 7988511 8125330 8505909
214 8079196 8358083 8654711
215 8280762 8610634 8719125
216 8621622 8994448 8702678
217 9073612 9292429 8622250
218 9477153 9590315 8480817
219 9730814 9714093 8333762
220 9816272 9701684 8194471
221 9882803 9573132 8102609
222 9901578 9424330 7819875
223 9907016 9199121 7705398
224 9821606 8999404 7492443
225 9516138 8568280 7490427
226 9261441 8333719 7425607
227 8929323 8050582 7580882
228 8588595 7883431 7695741
229 8246475 7744281 7887988
230 8014858 7661737 8047767
231 7909009 7766282 8258418
232 7983161 7971959 8373924
233 8006959 8202864 8559392
234 8208424 8436031 8589982
235 8525249 8854651 8608462
236 8852901 9061273 8613794
237 9226510 9454908 8558972
238 9572358 9722487 8547354
239 9850997 9960208 8401850
240 10079378 9892681 8225943
241 10226736 9892529 8014286
242 10137588 9633791 7855064
243 9977769 9351908 7720015
244 9876519 9109387 7628737
245 9668839 8821946 7568892
246 9402180 8539502 7617744
247 9119001 8313663 7562641
248 8743739 8067435 7754734
249 8471741 7943082 7883142
250 8260635 7926975 8066562
251 8183048 7989196 8209460
252 8140511 8224792 8481000
253 8268820 8397467 8579541
254 8398861 8689760 8648024
255 8628620 9010059 8762429
256 8988005 9427258 8755295
257 9287428 9665000 8762502
258 9630318 9904896 8559558
259 9895666 10048877 8509230
260 10121337 10110526 8292751
261 10322878 10051828 8106547
262 10335791 9959872 7958943
263 10198290 9717533 7939737
264 10096699 9387326 7639766
265 9725293 8980683 7649388
266 9414831 8706479 7661312
267 9129294 8450439 7729257
268 8774242 8185649 7838967
269 8509403 8146406 7966202
270 8318551 8209284 8266890
271 8170105 8271397 8453427
272 8165787 8364291 8614545
273 8139196 8523912 8755152
274 8347005 8805102 8852152
275 8654830 9234585 8931277
276 8948030 9500480 8941036
277 9221293 9813586 8897655
278 9551640 10007671 8802916
279 9960617 10258729 8594821
280 10193510 10270997 8476305
281 10375284 10308491 8236246
282 10292208 9989122 8083663
283 10087242 9753827 7973927
284 9919080 9420232 7902935
285 9622231 9044566 7814198
286 9290648 8736638 7806077
287 9000047 8439386 7802606
288 8641500 8238408 8006633
289 8400566 8080652 8132687
290 8244703 8057120 8211385
291 8074425 8039389 8334148
292 8013893 8226401 8586925
