0 9283946 4105362 3233872
1 9217448 4023091 3301403
2 9224727 3980956 3177183
3 9204319 3893085 3159232
4 8952975 3701290 3246316
5 8992450 3755147 3207593
6 8998461 3661296 3159229
7 9065078 3679020 3045856
8 9006189 3656035 3123293
9 8989531 3632043 3127586
10 9109495 3826536 3158977
11 9215472 3791875 3066085
12 9127859 3804092 3104885
13 9126632 3789827 3126213
14 9086601 3822401 3134805
15 9028218 3667837 3132200
16 9058540 3651722 3046292
17 9112354 3793255 3118645
18 9163668 3774926 3048743
19 9129402 3796733 3103272
20 9224401 3783827 3036257
21 9197125 3863214 3079756
22 9321389 3948996 3065001
23 9342429 3997261 3048549
24 9252489 3980862 3169834
25 9167720 3846068 3126771
26 9169602 3814779 3092255
27 9177201 3681167 2957810
28 9141787 3675996 2966851
29 9191471 3697767 2959807
30 9322268 3780750 2864512
31 9325037 3805108 2935484
32 9392315 3818320 2886901
33 9473511 3889248 2885561
34 9387538 3784886 2904640
35 9202769 3720514 2954892
36 9137882 3576091 2920502
37 9009504 3470534 2945429
38 8739191 3247726 2940713
39 8553230 2995419 2845469
40 8597077 3056433 2971100
41 8636235 3104185 2927638
42 8770873 3266345 2974094
43 8767607 3263551 2970636
44 8840035 3310969 2944682
45 8830779 3295643 2920427
46 8841194 3283018 2901105
47 8897859 3371524 2924392
48 8843189 3257897 2891790
49 8858963 3370809 2930549
50 8888880 3363388 2905326
51 8978484 3442329 2857074
52 8984537 3434228 2901119
53 9008877 3541692 2924837
54 9107221 3638710 2978996
55 9122391 3595962 2983994
56 9099093 3672534 3001984
57 9044785 3490108 2895478
58 9073768 3595255 2900659
59 9146938 3605498 2931050
60 9119211 3657924 2976402
61 9202848 3682963 2972070
62 9094839 3530630 2890980
63 9163247 3675770 2920913
64 9262227 3737514 2931282
65 9315553 3847903 3004933
66 9253569 3744958 2965414
67 9332767 3865571 2927579
68 9275716 3780855 2975909
69 9202641 3685036 2938364
70 8892791 3482859 3039535
71 8821769 3329785 2970858
